location,count,link
"rue st-patrick",14,"https://sgolds15.github.io/industrial/browse.html#rue%20st-patrick"
"rue st-ambroise",8,"https://sgolds15.github.io/industrial/browse.html#rue%20st-ambroise"
"rue notre-dame est",7,"https://sgolds15.github.io/industrial/browse.html#rue%20notre-dame%20est"
"rue william",6,"https://sgolds15.github.io/industrial/browse.html#rue%20william"
"place turcot",5,"https://sgolds15.github.io/industrial/browse.html#place%20turcot"
"rue mill",4,"https://sgolds15.github.io/industrial/browse.html#rue%20mill"
"rue de la gauchetière ouest",3,"https://sgolds15.github.io/industrial/browse.html#rue%20de%20la%20gaucheti%C3%A8re%20ouest"
"rue ste-catherine ouest",3,"https://sgolds15.github.io/industrial/browse.html#rue%20ste-catherine%20ouest"
"rue de la commune ouest",3,"https://sgolds15.github.io/industrial/browse.html#rue%20de%20la%20commune%20ouest"
"rue st-antoine ouest",3,"https://sgolds15.github.io/industrial/browse.html#rue%20st-antoine%20ouest"
"rue ontario est",3,"https://sgolds15.github.io/industrial/browse.html#rue%20ontario%20est"
"boul. st-laurent",3,"https://sgolds15.github.io/industrial/browse.html#boul.%20st-laurent"
"place d'youville",3,"https://sgolds15.github.io/industrial/browse.html#place%20d'youville"
"rue notre-dame ouest",3,"https://sgolds15.github.io/industrial/browse.html#rue%20notre-dame%20ouest"
"rue des seigneurs",3,"https://sgolds15.github.io/industrial/browse.html#rue%20des%20seigneurs"
"rue duke",3,"https://sgolds15.github.io/industrial/browse.html#rue%20duke"
"rue wellington",3,"https://sgolds15.github.io/industrial/browse.html#rue%20wellington"
"rue island",3,"https://sgolds15.github.io/industrial/browse.html#rue%20island"
"rue de bleury",2,"https://sgolds15.github.io/industrial/browse.html#rue%20de%20bleury"
"rue guy",2,"https://sgolds15.github.io/industrial/browse.html#rue%20guy"
"rue st-rémi",2,"https://sgolds15.github.io/industrial/browse.html#rue%20st-r%C3%A9mi"
"rue du canal",2,"https://sgolds15.github.io/industrial/browse.html#rue%20du%20canal"
"rue prince",2,"https://sgolds15.github.io/industrial/browse.html#rue%20prince"
