objectid,parentid,title,architect,building_type,architecture_firm,building_materials,date,date_began,date_completed,date_alteration,date_restoration,date_demolished,description,subject,address,street_name,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_thumb,object_location,reference_url
"in001","","Mount Royal Spinning Wool Co. Ltd./ Dominion Textile Co.","Spence, D. Jerome","textile mill","","brick; concrete foundation","1908","","1908","1928, 1935, 1947, 1959","","","","","5524 rue St-Patrick","","45.46365435","-73.59630154","","IN001","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","","","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg",https://sgolds15.github.io/industrial/items/in001.html
"in001_01","in001","View, looking south-east, of offices (foreground) and factory","","","","","","","","","","","","","","","","","","mrsw01","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","","","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg",https://sgolds15.github.io/industrial/items/in001.html#in001_01
"in001_02","in001","Factory complex, looking east","","","","","","","","","","","","","","","","","","mrsw02","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg","","","https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg",https://sgolds15.github.io/industrial/items/in001.html#in001_02
"in001_03","in001","View, looking north-east","","","","","","","","","","","","","","","","","","mrsw03","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg","","","https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg",https://sgolds15.github.io/industrial/items/in001.html#in001_03
"in001_04","in001","Detail of front offices and factory","","","","","","","","","","","","","","","","","","mrsw04","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg","","","https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg","https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg",https://sgolds15.github.io/industrial/items/in001.html#in001_04
"in002","","Canada Malting Co. Ltd.","Spence, D. Jerome","beverage processing plant","","brick; stone foundation; concrete bins","1905","","1905","1963","","","","","5052 rue St-Ambroise","","45.46903417","-73.58954866","","IN002","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","","","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg",https://sgolds15.github.io/industrial/items/in002.html
"in002_01","in002","View of elevators and malt house, looking south-west","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","","","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt.jpg",https://sgolds15.github.io/industrial/items/in002.html#in002_01
"in002_02","in002","View, looking north-east, of reinforced concrete malt elevator","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg","","","https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg",https://sgolds15.github.io/industrial/items/in002.html#in002_02
"in002_03","in002","View of tile elevators, looking north-east","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg","","","https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg",https://sgolds15.github.io/industrial/items/in002.html#in002_03
"in002_04","in002","View, looking north-east, of tile elevators and the old malt house on the left","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg","","","https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg","https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg",https://sgolds15.github.io/industrial/items/in002.html#in002_04
"in003","","Unity Building","Spence, D. Jerome","light manufacturing","","reinforced concrete and steel frame; red brick","1912","","1912","1956 (interior renovation)","","","View, looking south-east, along St-Alexandre","","454 rue de La Gauchetière ouest","","45.503119","-73.563425","","IN003","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/unity.jpg","https://digital.library.mcgill.ca/industrial/images/unity.jpg","https://digital.library.mcgill.ca/industrial/images/unity.jpg","","","https://digital.library.mcgill.ca/industrial/images/unity.jpg","https://digital.library.mcgill.ca/industrial/images/unity.jpg",https://sgolds15.github.io/industrial/items/in003.html
"in004","","Sherwin-Williams Company Limited","","industrial complex","MacVicar &amp; Heriot","red brick; stone foundation","1903","","1903","1925, 1930,1937,1942,1946,1947,1965-67,1974, 1997","","","","","2855 rue Centre","","45.476636","-73.572661","","IN004","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","","","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg",https://sgolds15.github.io/industrial/items/in004.html
"in004_01","in004","Looking south from the intersection of Atwater Ave. and rue Centre","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","","","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg","https://digital.library.mcgill.ca/industrial/images/sherwill.jpg",https://sgolds15.github.io/industrial/items/in004.html#in004_01
"in004_02","in004","Company advertisement from 1932; Montreal, the Metropolis of Canada: A Comprehensive Record of the Growth and Development of the Canadian Metropolis (Montreal: Montreal Industrial Commission, 1932), 43.","","","","","","","","","","","","","","","","","","","Image;StillImage","image/jpeg","eng","","","image","https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg","https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg","https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg","","","https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg","https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg",https://sgolds15.github.io/industrial/items/in004.html#in004_02
